No Data;Jenis Barang;Merk;Harga;Kelas
1;kramik;Vicenza;385500;Laris
2;kramik;Vicenza;538500;Laris
3;kramik;Vicenza;538500;Laris
4;plastik;Sunlife;18300;Laris
5;plastik;Sunlife;12500;Laris
6;plastik;Fori;27500;Laris
7;Kaca;Vicenza;520000;Laris
8;Kaca;Sunlife;179000;Tidak Laris
9;kramik;Sunlife;178000;Laris
10;kramik;Vicenza;44500;Laris
11;Kaca;Vicenza;600000;Laris
12;Kaca;Sunlife;285000;Tidak Laris
13;Kaca;Sunlife;329000;Tidak Laris
14;Kaca;Vicenza;415000;Laris
15;kramik;Vicenza;309000;Laris
16;kramik;Vicenza;865000;Laris
17;kramik;Fori;999000;Laris
18;plastik;Fori;339000;Laris
19;plastik;Fiori;289000;Laris
20;plastik;Fiori;559500;Laris
